"stage","status","subject","unresolved"
"5D-B1","TECHNICAL_PASS","회사별 기준 패키지·자료형 집계","PDF-XBRL 보고서별 대응"
"5D-B2","TECHNICAL_PASS","원문 XBRL ZIP 개방·내부 해시","파일명 기반 구조검토 93건"
"5D-B3","TECHNICAL_PASS","XBRL 내용 기반 구조 재검사","0"
"5D-B4A","PARTIAL_PASS_SCOPE_MISMATCH","canonical ZIP 내부 기존 PDF-XBRL 대응표 탐색","정확한 대응표가 별도 outputs 폴더·ZIP에 존재하는지 복원"
"5D-B4B","TECHNICAL_PASS","outputs 전체 PDF-XBRL 대응표 원본 위치 복원","보고서별 대응값의 중복제거·정합성 검사"
"5D-B4C","TECHNICAL_PASS","KR8 대응표 해시 중복제거·상태어휘 점검","현대로템 파일럿 대응근거 별도 복원"
"5D-B4C-3","TECHNICAL_PASS","PAIRED 88행 PDF·XBRL 실제 파일참조 대조","0"
"5D-B4C-4","PASS_WITH_ATTENTION","KR8 대응상태·실제 원자료 수량 정산","1 개 회사 잔여 XBRL 검토"
"5D-B4C-5A","RETEST_REQUIRED_COLUMN_SCOPE_ERROR","효성중공업 1차 참조열 검사","5B·5C에서 교정"
"5D-B4C-5B","INTERMEDIATE_RESULT_REINTERPRETED","효성중공업 실제 파일명 열 재검사","XBRL 파일명 공란의 의미를 5C에서 확정"
"5D-B4C-5C","TECHNICAL_PASS_ORIGINAL_PDF_ONLY_CONFIRMED","효성중공업 PDF_ONLY 원수집 계보확정","현재 XBRL의 별도 수집계보"
"5D-B4D-1","DISCOVERY_PASS_HIGH_PRIORITY_CANDIDATE_FOUND","현대로템 파일럿 대응근거 후보탐색","상위 후보에서 22건 대응관계 추출"
"5D-B4D-2A","TECHNICAL_PASS","현대로템 폴더본·ZIP본 원자료 미러검사","0"
"5D-B4D-2B","TECHNICAL_PASS","현대로템 v4_6 기준원장·원자료 정산","독립 QA·팀 승인"
