"record_id","stage","subject","observed_value","validation_method","result","evidence_path","interpretation","open_boundary"
"REG-B1-001","5D-B1","회사별 기준 외부 패키지","9/9","패키지 식별 및 외부 ZIP 개방","TECHNICAL_PASS","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b1_regular_report_package_audit_20260801_135933\KR9_REGULAR_REPORT_PACKAGE_SUMMARY.csv","회사별 기준 패키지 9개 존재 및 개방","독립 QA와 팀 승인 아님"
"REG-B1-002","5D-B1","보고서 PDF","204 건","raw_files 내부 확장자 집계","CONFIRMED","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b1_regular_report_package_audit_20260801_135933\KR9_REGULAR_REPORT_PACKAGE_SUMMARY.csv","정기보고서 PDF 원자료","보고서별 XBRL 대응 후속 검토"
"REG-B1-003","5D-B1","현대로템 재무제표 Excel","12 건","raw_files 내부 Excel 확인 및 사용자 원자료 역할 확인","FINANCIAL_STATEMENT_EXCEL_CONFIRMED","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b1_regular_report_package_audit_20260801_135933\KR9_REGULAR_REPORT_PACKAGE_SUMMARY.csv","일반 분석 워크북이 아닌 공식 재무제표 원자료","원자료 역할 고정"
"REG-B2-001","5D-B2","원문 XBRL ZIP 개방","191/191","중첩 ZIP 직접 개방","TECHNICAL_PASS","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b2_xbrl_nested_zip_audit_20260801_140334\KR9_XBRL_NESTED_ZIP_SUMMARY.csv","모든 원문 XBRL ZIP 개방 성공","PDF 내용 대응과 별개"
"REG-B2-002","5D-B2","XBRL 내부 구성파일","1430/1430","내부 파일 읽기 및 SHA-256 계산","TECHNICAL_PASS","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b2_xbrl_nested_zip_audit_20260801_140334\KR9_XBRL_INNER_MEMBER_INVENTORY.csv","내부 구성파일 읽기·해시 통과","회계내용 검산 아님"
"REG-B3-001","5D-B3","파일명 기반 구조검토 대상","93/93 해소","XBRL 인스턴스·링크베이스 내용 기반 재검사","TECHNICAL_PASS","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b3_xbrl_content_role_audit_20260801_140754\KR9_XBRL_REVIEW_CONTENT_SUMMARY.csv","기존 REVIEW는 파일명 탐지 한계","계속 검토 대상 0 건"
"REG-B4A-001","5D-B4A","기존 PDF-XBRL 대응표","0 개 파일 / 0 행","외부 패키지 내 pdf_xbrl_pairing.csv 탐색·파싱","REVIEW_REQUIRED","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b4a_pairing_ledger_discovery_20260801_141536\PDF_XBRL_PAIRING_FILE_SCHEMA_PROFILE.csv","기존 대응표 위치·스키마·상태값 확인","내용 동일성 및 독립 QA 미수행"
"REG-B4B-001","5D-B4B","KR8 PDF-XBRL 대응표 원본 복원","17개 위치 / 8개 고유 해시","outputs 폴더와 최상위 ZIP 탐색·SHA-256 비교","TECHNICAL_PASS","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b4b_pairing_source_recovery_20260801_142241\PDF_XBRL_PAIRING_SOURCE_LOCATIONS.csv","KR8 회사별 실질 대응표 원본은 회사당 1개","현대로템 파일럿 자료 별도"
"REG-B4C-001","5D-B4C","대응표 복사본 중복 제거","188개 원시 상태기록 → 94개 고유 상태기록","파일 SHA-256·행번호·열·상태값 기준 중복제거","TECHNICAL_PASS","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b4c_pairing_dedup_status_vocab_20260801_142741\KR8_PAIRING_DEDUPLICATED_STATUS_RECORDS.csv","복사본 수가 아닌 고유 대응표 기준 집계","미등록 상태어휘와 현대로템 대응근거 후속검사"
"REG-B4C3-001","5D-B4C-3","PAIRED 88행 실제 파일참조","88/88 PDF·XBRL 참조 및 원자료 일치","대응표 파일명과 회사별 원자료 ZIP 항목 대조","TECHNICAL_PASS","C:\Soph\handoff_staging\KR9\v1.1\diagnostics\stage5d_b4c3_paired_file_reference_audit_20260801_144033\PAIRED_ROW_FILE_REFERENCE_AUDIT.csv","PAIRED를 PDF_XBRL_PAIR 표준상태 후보로 확인","원본값 보존·팀 승인 아님"
