lifecycle_domain,master_location,structural_status,current_boundary
상품·지수 정체성,룰북 2장,구조 완결,PR·KRW·무헤지·3테마×2지역
거버넌스·역할,룰북 3장 / 사전 N,구조 완결·담당 일부 미지정,법률·라이선스·운영책임 OPEN
시장 유니버스·증권정체성,룰북 5~6장 / 사전 B,구조 완결,전체시장 production 데이터 OPEN
테마 적격성,룰북 7장 / 사전 G / 수식 6~7장,구조 완결,Seed18 사람검토·승인 OPEN
공시·PIT·정정계보,룰북 8장 / 사전 C~F / 수식 1장,구조 완결,국가별 전수조회 일부 OPEN
기업행사,룰북 9장 / 사전 L / 수식 15장,구조 완결,KR·US 시장자료 보강 OPEN
시장상태·가격·거래대금,룰북 10장 / 사전 H / 수식 2장,구조 완결,production 소스계약 OPEN
정량 게이트·재무,룰북 11장 / 사전 I~J / 수식 3~5장,구조 완결,절대하한·범주형 매핑 CONFIG_REQUIRED
선정·가중·리밸런싱,룰북 12~14장 / 사전 K / 수식 8~10·14장,구조 완결,product cap·최소수 CONFIG_REQUIRED
환율·BM·지수산출,룰북 15~16장 / 사전 M / 수식 11~14장,구조 완결,BM 라이선스·FX 정책 OPEN
QA·정정·인계,룰북 17·20장 / 사전 N / 수식 19~20장,구조 완결,production 독립 QA 미수행
공개·라이선스·운영·복구,룰북 18~19·22장 / 사전 N / 수식 21장,상품화 통제 추가,법률·SLA·BCP 승인 전
